source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_lpips_bh8_m251_20260924_093030,wlpips_bh8_m251_tau2_rdoq,wlpips_bh8_m251,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.929474935925133,1.4317011260207912,-4.345745292542179,-3.9871344103735282,-10.393287130545698,-7.93270248212379,0.4845991876429932,-9.59682424383906,-6.76302351880103,-7.873133012344684,-10.249285002835537
vvc_rdo_lpips_bh8_m251_20260924_093030,wlpips_bh8_m251_tau4_rdoq,wlpips_bh8_m251,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.7968468741041059,0.5000733242633171,-3.142001576531662,-2.945516626790404,-7.09259596448373,-5.4946910563468805,-0.10734635121477469,-6.574151720340429,-4.7935502623992905,-5.546176432033285,-7.3052147954872675
vvc_rdo_lpips_bh8_m247_20260924_104505,wlpips_bh8_m247_tau0.5_rdoq,wlpips_bh8_m247,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",9.427371974569018,8.183107644127185,-5.695738688667075,-4.9634440151067,-15.561992061929509,-11.79401250585075,5.818607006708692,-13.971844855832229,-9.696548547437304,-11.836216815993003,-15.745724485320329
vvc_rdo_lpips_bh8_m247_20260924_104505,wlpips_bh8_m247_tau1_rdoq,wlpips_bh8_m247,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.760445453562048,3.9406730666875798,-5.333746063622527,-4.76457106584109,-13.196474313382064,-10.75318431317028,2.3677215238783273,-11.824911323645118,-8.695951734570116,-10.309814000200278,-13.450279710063578
vvc_rdo_lpips_bh8_m247_20260924_104505,wlpips_bh8_m247_tau2_rdoq,wlpips_bh8_m247,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.1338451771600284,1.612518059611561,-4.352366091605766,-3.9843339337674153,-10.296963789471674,-7.867284562350225,0.6060617817715774,-9.437761768892242,-6.799521073138638,-7.915549873622911,-10.204994693008109
vvc_rdo_lpips_bh8_m247_20260924_104505,wlpips_bh8_m247_tau4_rdoq,wlpips_bh8_m247,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.8425038410347447,0.5002315186591083,-3.2272109968853044,-2.976283445038407,-7.4509399359221975,-6.123559064028377,-0.15564668954253144,-6.824468373763459,-5.024513681828982,-5.78848894392036,-7.412643014160459
vvc_rdo_lpips_bh8_m239_20260924_120539,wlpips_bh8_m239_tau0.5_rdoq,wlpips_bh8_m239,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.06840705586962,6.94319080247191,-5.520115805378275,-4.888139196902979,-14.429999477653533,-9.421357280787555,4.7753235544466,-13.774055100646601,-9.40056303060244,-11.398201453374192,-15.185172752834438
vvc_rdo_lpips_bh8_m239_20260924_120539,wlpips_bh8_m239_tau1_rdoq,wlpips_bh8_m239,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.115227580641457,3.3274167100442114,-4.9425535163701815,-4.491410097919609,-12.373429014975985,-9.164157395082688,1.8147019849340456,-12.140849721121134,-8.349202194757474,-9.859230296135477,-12.951660544612485
vvc_rdo_lpips_bh8_m239_20260924_120539,wlpips_bh8_m239_tau2_rdoq,wlpips_bh8_m239,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.8874959614829823,1.3722611245107714,-4.09336825626924,-3.7815856331177162,-9.794452622274072,-7.124332603633614,0.39327576108677215,-9.494801775810856,-6.660052110350493,-7.743475697658865,-10.021314974720879
vvc_rdo_lpips_bh8_m239_20260924_120539,wlpips_bh8_m239_tau4_rdoq,wlpips_bh8_m239,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.7433802358167707,0.4376965823869418,-3.0354256665530177,-2.797458111188582,-6.77901695513501,-5.601087847813443,-0.18535764227257204,-6.76883520021272,-4.651818952437378,-5.365661696094232,-6.926933907263429
