source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,lpips,-7.814155012710355
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,dists,-13.797364601223272
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,dists,-5.072788220933577
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,dists,-3.5891240165415006
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,dists,-4.154921840135373
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,dists,-5.665151729807693
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,dists,-3.1786538822320964
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,dists,-9.104082278959735
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,dists,-7.666736735504398
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,dists,7.528770223046566
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,dists,-1.4512276316725137
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,dists,-3.7036477675278734
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,dists,-2.5751905720224677
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,wd0,-8.87909549821445
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,wd0,-10.363993991088039
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,wd0,-10.823587941156676
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,wd0,-6.893491803132945
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,wd0,-5.38476763489072
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,wd0,-9.009739483603141
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,wd0,-8.046524609305028
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,wd0,-8.323245501963871
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,wd0,-6.564602003119924
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,wd0,-7.460074362842562
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,wd0,-9.95696362834747
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,wd0,-7.394879829334721
