source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau0.5_rdoq,wssim_sn256,ssim,hutch,diag,0.5,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.707947397592236,3.5225565805231063,-10.555278222019398,-8.526846975852349,-6.021637086391824,0.45744509211686957,1.587942793020688,-7.410937802655648,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau1_rdoq,wssim_sn256,ssim,hutch,diag,1,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.0900411423771295,1.3560608962226322,-7.920567327549638,-6.507079828993763,-5.157378317926461,-1.7611685810009483,0.17375945755658218,-5.670298430556858,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau2_rdoq,wssim_sn256,ssim,hutch,diag,2,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.8021157111582818,0.37550766797352364,-5.4170076325063645,-4.514561724025474,-3.470786231739091,-1.5939209605405573,-0.333843782669969,-4.267713509266408,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau3_rdoq,wssim_sn256,ssim,hutch,diag,3,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.4412940808189667,0.17147093982721184,-4.1288134264924325,-3.442645777266327,-2.902103949577319,-1.2891677539078517,-0.25267186915949036,-3.1173060207752266,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau4_rdoq,wssim_sn256,ssim,hutch,diag,4,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.3115048643176928,0.07871569670981303,-3.3473555721392962,-2.81294565901016,-2.1690158954001855,-1.1479732501836517,-0.30179167620394504,-2.35932955017563,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau6_rdoq,wssim_sn256,ssim,hutch,diag,6,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.1526513981205004,0.00021077785129173612,-2.504660201004818,-2.074415116612286,-1.597148588264582,-0.923764727446533,-0.23858266151056315,-1.8006299922216582,,,
vvc_rdo_ssim_sbh8m256_20260904_000927,wssim_sbh8m256_tau0.25_rdoq,wssim_sbh8m256,ssim,hutchblock,block,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",33.6355649381819,30.53962550042631,-31.725299957614975,-4.880980251107467,4.2962554149113386,12.451238435767047,25.746581013267363,5.8384524246177305,,,
vvc_rdo_ssim_sbh8m256_20260904_000927,wssim_sbh8m256_tau0.5_rdoq,wssim_sbh8m256,ssim,hutchblock,block,0.5,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",19.688852313637696,17.97470702957524,-29.520980588869165,-7.375030762274072,0.7123789526363487,6.6629903009603195,15.359617526145485,2.478085565801221,,,
vvc_rdo_ssim_sbh8m256_20260904_000927,wssim_sbh8m256_tau1_rdoq,wssim_sbh8m256,ssim,hutchblock,block,1,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",10.765401431640896,9.865949332435873,-25.855209001093385,-8.473031159840076,-1.824255617805182,2.32708315403386,8.524925625709686,-0.5754783174727339,,,
vvc_rdo_ssim_sbh8m256_20260904_000927,wssim_sbh8m256_tau2_rdoq,wssim_sbh8m256,ssim,hutchblock,block,2,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",5.404681208840848,4.976930866538953,-21.258338228965485,-8.13849152641593,-3.124442883802644,0.7201377290079817,4.380397130214534,-1.5887273469037357,,,
vvc_rdo_ssim_sbh8m256_20260904_000927,wssim_sbh8m256_tau3_rdoq,wssim_sbh8m256,ssim,hutchblock,block,3,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",3.4157922658161213,3.1540071818567825,-18.26499413344921,-7.572765083383387,-3.5804221732670527,-0.8933399232166245,2.7991224545014006,-1.7772263192284685,,,
