set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim05,2,1536,0.3185017903645833,0.4664815266927083,0.3972966232487673,1.0,0.19479554807279154
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim06,0,6144,0.4051666259765625,0.46072642008463544,0.4171007316914617,1.0,0.18070190223151214
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim06,1,1536,0.3859456380208333,0.46319580078125,0.41872501837389337,1.0,0.18170220959347108
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim06,2,1536,0.3736979166666667,0.477325439453125,0.39268450701677826,1.0,0.18436169848254003
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim07,0,6144,0.3917795817057292,0.459228515625,0.4138251478820661,1.0,0.18297830142603422
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim07,1,1536,0.3944091796875,0.4651387532552083,0.4289105990826048,1.0,0.18072472266465175
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim07,2,1536,0.378570556640625,0.4740397135416667,0.4126913411330996,1.0,0.18365053493851602
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim08,0,6144,0.41143798828125,0.45932769775390625,0.4302523670519576,1.0,0.18054828283417232
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim08,1,1536,0.3814697265625,0.4666748046875,0.412529759357267,1.0,0.1824084706831409
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim08,2,1536,0.3676249186197917,0.4760640462239583,0.3978169668293748,1.0,0.1846241041420212
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim09,0,6144,0.38325754801432294,0.46124267578125,0.4191635265804663,1.0,0.1835166084199765
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim09,1,1536,0.3657633463541667,0.4627278645833333,0.43101805681804006,1.0,0.1847260547581391
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim09,2,1536,0.3695882161458333,0.4752705891927083,0.43377794564737826,1.0,0.1867456255540422
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim10,0,6144,0.38208770751953125,0.46621958414713544,0.4142996586451284,1.0,0.18312383794395196
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim10,1,1536,0.3636983235677083,0.4653116861979167,0.4140739120110678,1.0,0.18419793888681965
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim10,2,1536,0.3662821451822917,0.4762166341145833,0.4113339992703198,1.0,0.18512111480316473
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim11,0,6144,0.3946990966796875,0.45709228515625,0.42277141026003145,1.0,0.18241960522599596
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim11,1,1536,0.369781494140625,0.4647013346354167,0.41176606636713037,1.0,0.18417422083079696
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim11,2,1536,0.3635660807291667,0.467620849609375,0.40946894258180067,1.0,0.18498352039188556
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim12,0,6144,0.4082082112630208,0.46752675374348956,0.4267083843764088,1.0,0.1801079798540286
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim12,1,1536,0.414703369140625,0.4740397135416667,0.4316023016968594,1.0,0.17942140604627752
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim12,2,1536,0.3934224446614583,0.4747721354166667,0.404012727354952,1.0,0.18129622893879274
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim13,0,6144,0.42952219645182294,0.4621378580729167,0.43796455463347594,1.0,0.1782149032285569
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim13,1,1536,0.3828226725260417,0.4742024739583333,0.39188881015137855,1.0,0.18332574417542538
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim13,2,1536,0.35577392578125,0.47808837890625,0.36343084466019376,1.0,0.18836912053680502
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim14,0,6144,0.4046071370442708,0.45741526285807294,0.42428909927012515,1.0,0.18089186832303691
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim14,1,1536,0.368072509765625,0.461700439453125,0.4176799311152161,1.0,0.1848453647662762
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim14,2,1536,0.3662312825520833,0.478057861328125,0.4131108513808743,1.0,0.18577004886317253
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim15,0,6144,0.391632080078125,0.47759246826171875,0.4207617910710014,1.0,0.18268146121974174
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim15,1,1536,0.4005635579427083,0.4817301432291667,0.4272216204590127,1.0,0.18082297915505693
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim15,2,1536,0.394073486328125,0.4814046223958333,0.4294314730588723,1.0,0.18230294157898494
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim16,0,6144,0.411834716796875,0.46809641520182294,0.41222868996831014,1.0,0.17981768558065545
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim16,1,1536,0.390380859375,0.4757893880208333,0.42397682563462646,1.0,0.1826477410459856
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim16,2,1536,0.3845926920572917,0.4824117024739583,0.4231669296274788,1.0,0.18337006260553315
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim17,0,6144,0.3965403238932292,0.47737375895182294,0.42928121948786063,1.0,0.1813451032519615
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim17,1,1536,0.3715108235677083,0.48040771484375,0.40865413454646643,1.0,0.18425992121514254
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim17,2,1536,0.3553365071614583,0.483184814453125,0.39714686639089813,1.0,0.18764236161467865
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim18,0,6144,0.3815867106119792,0.44762420654296875,0.4169723487471024,1.0,0.18386746884395846
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim18,1,1536,0.336395263671875,0.4487508138020833,0.39738352587143694,1.0,0.19031558337340973
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim18,2,1536,0.3325398763020833,0.4758402506510417,0.3894317958813821,1.0,0.19071912506469021
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim19,0,6144,0.4078369140625,0.46319325764973956,0.42442323574507707,1.0,0.18032630862272206
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim19,1,1536,0.3878377278645833,0.4690958658854167,0.42385500799773557,1.0,0.18133788978727142
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim19,2,1536,0.3813374837239583,0.4776204427083333,0.4185159309858544,1.0,0.18440767975687247
DISTS_dhb8m256,DISTS,hutchblock,256,0.0,kodim20,0,6144,0.372283935546875,0.43272145589192706,0.41190323999928014,1.0,0.1936708071319169
